name,C,gamma,score
0vs1,0.54,0.01,0.90
0vs2,0.58,0.01,0.84
0vs3,0.54,0.01,0.89
0vs4,0.54,0.01,0.89
0vs5,0.54,0.01,0.92
0vs6,0.56,0.01,0.93
0vs7,0.58,0.01,0.91
0vs8,0.58,0.01,0.80
0vs9,0.58,0.01,0.91
1vs2,0.56,0.01,0.93
1vs3,0.50,0.01,0.91
1vs4,0.58,0.01,0.93
1vs5,0.56,0.01,0.94
1vs6,0.56,0.01,0.93
1vs7,0.56,0.01,0.94
1vs8,0.58,0.01,0.87
1vs9,0.58,0.01,0.86
2vs3,0.54,0.01,0.76
2vs4,0.44,0.01,0.77
2vs5,0.58,0.01,0.77
2vs6,0.54,0.01,0.83
2vs7,0.58,0.01,0.84
2vs8,0.58,0.01,0.88
2vs9,0.58,0.01,0.92
3vs4,0.54,0.01,0.80
3vs5,0.56,0.01,0.66
3vs6,0.58,0.01,0.81
3vs7,0.56,0.01,0.81
3vs8,0.58,0.01,0.90
3vs9,0.54,0.01,0.89
4vs5,0.56,0.01,0.82
4vs6,0.58,0.01,0.83
4vs7,0.58,0.01,0.82
4vs8,0.58,0.01,0.91
4vs9,0.50,0.01,0.90
5vs6,0.58,0.01,0.83
5vs7,0.56,0.01,0.81
5vs8,0.54,0.01,0.93
5vs9,0.58,0.01,0.91
6vs7,0.58,0.01,0.91
6vs8,0.58,0.01,0.93
6vs9,0.42,0.01,0.94
7vs8,0.58,0.01,0.92
7vs9,0.56,0.01,0.90
8vs9,0.58,0.01,0.88
